location,Code,Year,age-standardized-death-rate-cardiovascular-disease
Japan,JPN,2019,77.009943462191
High-income Asia Pacific,,2019,79.1122014569989
Peru,PER,2019,88.6138421601172
France,FRA,2019,91.414881908251
Singapore,SGP,2019,93.6820964869741
South Korea,KOR,2019,95.405298481704
Israel,ISR,2019,96.5919829490139
Taiwan,TWN,2019,102.105704002094
Andorra,AND,2019,105.711854818845
Spain,ESP,2019,106.783556904397
Switzerland,CHE,2019,107.063921857721
Puerto Rico,PRI,2019,107.81366740704
Canada,CAN,2019,107.921212248073
Australia,AUS,2019,108.126429541383
Iceland,ISL,2019,109.126152661095
Norway,NOR,2019,111.480636334045
Australasia,,2019,112.775172191539
Netherlands,NLD,2019,113.010104668774
Luxembourg,LUX,2019,115.986863509079
Belgium,BEL,2019,118.647223781711
Thailand,THA,2019,118.665610389237
Denmark,DNK,2019,118.784571822306
San Marino,SMR,2019,120.771282383537
Commonwealth High Income,,2019,122.839833051712
Panama,PAN,2019,123.821549375649
Andean Latin America,,2019,123.990712314466
High-income,,2019,125.831909240923
Italy,ITA,2019,126.092644681652
Chile,CHL,2019,126.836035088334
Portugal,PRT,2019,127.891035290789
Western Europe,,2019,128.050804145574
Costa Rica,CRI,2019,128.486014022152
England,,2019,128.792805101817
High SDI,,2019,129.429730990733
Colombia,COL,2019,131.47500043919
United Kingdom,GBR,2019,132.375312468768
Ireland,IRL,2019,132.773353574453
World Bank High Income,,2019,133.776231209942
Monaco,MCO,2019,134.476231185552
OECD Countries,,2019,135.977771644577
Nordic Region,,2019,137.729818914835
New Zealand,NZL,2019,137.926030776472
Northern Ireland,,2019,138.560445982391
Sweden,SWE,2019,138.591683940835
Wales,,2019,141.011890829737
Malta,MLT,2019,146.743685308969
Bermuda,BMU,2019,149.285765858333
El Salvador,SLV,2019,150.284050233341
Austria,AUT,2019,150.564941614017
Slovenia,SVN,2019,151.143196210782
North America,,2019,151.678990775359
High-income North America,,2019,151.685804149882
United States,USA,2019,157.0095428804
Mexico,MEX,2019,157.269558124564
European Union,,2019,158.970748486969
Germany,DEU,2019,159.359175138236
Scotland,,2019,159.964838716179
Central Latin America,,2019,161.176494660652
Uruguay,URY,2019,161.558628505438
America,,2019,162.333536000109
Region of the Americas,,2019,162.333536000109
Ecuador,ECU,2019,163.655001219357
Southern Latin America,,2019,166.248749304016
Latin America & Caribbean - WB,,2019,170.469109431989
Latin America and Caribbean,,2019,171.01060814371
Guatemala,GTM,2019,173.186354098253
Finland,FIN,2019,173.807709881947
Brazil,BRA,2019,175.661453266548
Tropical Latin America,,2019,175.91996516599
Argentina,ARG,2019,183.933092434128
Kuwait,KWT,2019,184.57615912771
Belize,BLZ,2019,185.189331776432
Barbados,BRB,2019,186.055898351664
Greece,GRC,2019,186.76830679569
Paraguay,PRY,2019,187.905196022939
Cyprus,CYP,2019,190.269410028186
Cuba,CUB,2019,197.320951199142
Jamaica,JAM,2019,199.577301755907
Maldives,MDV,2019,205.097223891968
Mauritius,MUS,2019,208.495911292275
Bolivia,BOL,2019,214.426793697724
Sri Lanka,LKA,2019,215.01113581901
