Entity,Code,Year,Number of executions (Amnesty International),Deaths - Meningitis - Sex: Both - Age: All Ages (Number),Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),"Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",Deaths - Malaria - Sex: Both - Age: All Ages (Number),Deaths - Drowning - Sex: Both - Age: All Ages (Number),Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),Deaths - Road injuries - Sex: Both - Age: All Ages (Number),Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),Deaths - Self-harm - Sex: Both - Age: All Ages (Number),Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),Deaths - Poisonings - Sex: Both - Age: All Ages (Number),Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),Terrorism (deaths),Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number)
Afghanistan,AFG,2019,,1562.7537116723,21247.1794933097,484.643007132913,530.455749314296,1687.00174258994,5015.35256065768,317.682003688995,406.28933536108,3627.11642942342,8253.53762793459,4037.68705070613,18696.601539947,23701.3324355552,146.743969973585,128,4319.61667784877,59.2646052001325,1243.71893652102,1613.19834551551,24294.8803246,4817.40518612614,524.980123916162,1210.35312803775,,61995.0157031412,5637.35493024445,7082.19014647628,3797.36902156966,6928.9191292644,1940,1775,560
Africa,,2019,,146326.958203538,660855.250471242,28066.851228404,596584.914754723,27475.2670166741,84118.3873973372,645651.955339657,3957.52089655652,395860.322168116,236531.125368497,98898.9672007865,720723.838340921,803444.031948748,7835.32995984633,1642.075902,610398.892497458,5867.17355807834,108409.003848621,79224.1794954823,13041.7214739118,206001.632698211,20603.3409040536,104021.849281988,,1608114.35465336,169234.771956635,225993.373127532,265361.308921208,416690.204639315,17887,85007,21313
African Region,,2019,,139589.930529935,533566.690777102,23657.4664959007,590252.148983112,23768.211247258,79735.4257367465,635622.971304602,2702.68748382247,369065.008769213,182242.632768134,91904.811901687,662060.101962298,749954.666001469,7260.96318244032,1642.075902,576591.836027315,5391.0853721459,98704.0978651095,69366.8481726671,9518.85686423181,170540.413848659,18791.5535795028,94779.9936700097,,1085321.21433585,127158.498024261,178908.453546376,187967.870954098,324066.266426346,13950,66124,15930
African Union,,2019,,146326.958203538,660855.250471242,28066.851228404,596584.914754723,27475.2670166741,84118.3873973372,645651.955339657,3957.52089655652,395860.322168116,236531.125368497,98898.9672007865,720723.838340921,803444.031948748,7835.32995984633,1642.075902,610398.892497458,5867.17355807834,108409.003848621,79224.1794954823,13041.7214739118,206001.632698211,20603.3409040536,104021.849281988,,1608114.35465336,169234.771956635,225993.373127532,265361.308921208,416690.204639315,17887,85007,21313
Albania,ALB,2019,,12.942106554995,4704.86929782408,17.7380900669649,0,35.8001242004913,56.968646048076,1.64646493425884,28.9907272162765,11.0525478117177,242.79046537934,2.77414066595819,456.729384441423,161.390802541092,18.0433744857752,51,6.79002204746965,4.21029255509552,4.52741544335266,152.102160564014,0,175.08794961145,11.2059464309705,3.251403300559,,12903.7796209269,328.787658368108,814.638706866397,332.702695963782,527.360334292511,1,917,248
Algeria,DZA,2019,,291.540317819088,23816.1580803167,781.752166314153,0.082397782641125,525.644593082667,459.443032597992,263.55072607122,525.956082861725,445.151535628101,11051.0064150496,638.072818595276,5785.72836992335,8755.77311725075,110.809419648204,0,526.785183872484,39.8982823291377,113.608942928674,1515.49755769979,13,5328.23762097928,350.853214926633,92.1110109629699,,97930.9505057516,8201.39095223029,7527.83401808993,4044.90302109785,6398.22378378843,259,5209,1283
America,,2019,,7318.58960351184,1622270.3632635,10096.644295977,1341.93206822598,20297.175413971,173465.806975416,51057.0477881309,71204.5911661352,20310.2028429052,158676.898095652,9655.974118289,322979.54348811,92528.4600398516,37583.3925581623,367.848441297,42212.8684020465,2210.83274115467,33718.0086578806,94783.6523234428,31.620059,302739.890409111,3712.74958437968,31114.8708975178,,2130471.42668018,321559.893329671,449173.536870629,215936.516005869,402205.366050062,949,306271,65407
American Samoa,ASM,2019,,0.670757510213234,68.3511176717748,0.343980806156776,0,3.73438759249376,3.30003608399923,0.481527467441604,0.329889188802364,0.708139418147242,4.76859597984463,0.883920435050945,11.8934181343086,4.07254247888415,0.546552356489692,0,3.13541166551042,0.500704811762838,1.96049366431683,3.95050527415726,0,43.9345890843647,0.11358065019909,1.90766823293332,,124.814939106034,25.6753163790068,22.9458768340595,6.9484998907424,13.6017980450359,0,7,3
Andean Latin America,,2019,,394.857893491328,65056.5081477081,654.168745867718,20.1990868094711,1729.96592375903,3664.29221756567,4340.4402444211,289.333606600012,4227.82454170469,11579.2363235631,1305.46477226892,30184.5290519575,9907.14716856808,1059.03365844657,148,2393.63684939755,98.790371598978,2929.17445879375,3437.05328627197,0,13509.3599754157,288.711968651759,2597.02992834828,,66584.7987003009,19382.351472256,14208.839769389,14051.7395066924,24389.7583544044,61,11175,2772
Andorra,AND,2019,,0.110481781205068,229.599382581399,0.389725335295453,0,0.348289165295874,0.474905700054757,3.1019166707555,0.369679761097589,0.267676177191613,8.23323883160518,0.012530596619312,20.3884458926963,0.348283967504056,1.34098885856533,0,0.859278144257526,0.076088850506799,0.243155239616031,8.13327271160232,0,9.21133748692586,0.163154955488549,0.166186228794349,,168.519982126487,16.0410859716858,39.421555336068,12.1682747162971,26.5822392028474,1,36,7
