location,Code,Year,dementia_death_rate_per_100k
Afghanistan,AFG,2017,50.5914678635946
Albania,ALB,2017,36.4252078141583
Algeria,DZA,2017,32.6439099156366
American Samoa,ASM,2017,42.2151924799903
Andean Latin America,,2017,33.4534770770753
Andorra,AND,2017,30.9247849854644
Angola,AGO,2017,40.519901216507
Antigua and Barbuda,ATG,2017,27.5109765464203
Argentina,ARG,2017,32.165931367359
Armenia,ARM,2017,36.7809192878178
Australasia,,2017,32.3359559740146
Australia,AUS,2017,32.3195238743354
Austria,AUT,2017,31.7266487159272
Azerbaijan,AZE,2017,49.8370283147672
Bahamas,BHS,2017,32.517761779353
Bahrain,BHR,2017,32.0477839969952
Bangladesh,BGD,2017,22.9990946283227
Barbados,BRB,2017,33.515195007824
Belarus,BLR,2017,39.3873666081422
Belgium,BEL,2017,33.5303438120262
Belize,BLZ,2017,30.5377449135244
Benin,BEN,2017,44.0632047170305
Bermuda,BMU,2017,29.2567525761526
Bhutan,BTN,2017,30.6598893176636
Bolivia,BOL,2017,43.2703386578018
Bosnia and Herzegovina,BIH,2017,42.2455493621765
Botswana,BWA,2017,39.6047685414377
Brazil,BRA,2017,35.5037875360429
Brunei,BRN,2017,29.014555144262
Bulgaria,BGR,2017,38.3351859183959
Burkina Faso,BFA,2017,41.1056800695577
Burundi,BDI,2017,39.4213952797972
Cambodia,KHM,2017,42.0108647411155
Cameroon,CMR,2017,46.8880658128711
Canada,CAN,2017,29.2916997759851
Cape Verde,CPV,2017,33.5679031493196
Caribbean,,2017,33.2875383290143
Central African Republic,CAF,2017,38.6097300823266
Central Asia,,2017,39.8534399731282
Central Europe,,2017,36.6760975408542
"Central Europe, Eastern Europe, and Central Asia",,2017,37.7641739776783
Central Latin America,,2017,30.9901733299263
Central Sub-Saharan Africa,,2017,40.3185322007945
Chad,TCD,2017,40.2688023960374
Chile,CHL,2017,35.2566909365139
China,CHN,2017,34.2477085568583
Colombia,COL,2017,26.4880655457926
Comoros,COM,2017,41.2958648679418
Congo,COG,2017,46.1576771755214
Costa Rica,CRI,2017,28.3703224845132
Cote d'Ivoire,CIV,2017,44.0977284172866
Croatia,HRV,2017,36.7694617627352
Cuba,CUB,2017,32.1230127915319
Cyprus,CYP,2017,24.8184289101397
Czechia,CZE,2017,34.8972518096226
Democratic Republic of Congo,COD,2017,39.7100558625263
Denmark,DNK,2017,33.1949789485068
Djibouti,DJI,2017,41.6829530601254
Dominica,DMA,2017,31.5942840885387
Dominican Republic,DOM,2017,34.1200829225209
East Asia,,2017,34.1419083195501
Eastern Europe,,2017,38.2178603666506
Eastern Sub-Saharan Africa,,2017,39.0408405270396
Ecuador,ECU,2017,38.0661572806726
Egypt,EGY,2017,41.5324281936993
El Salvador,SLV,2017,40.013543878854
England,,2017,38.5171139360013
Equatorial Guinea,GNQ,2017,42.6528554485526
Eritrea,ERI,2017,53.0921106373547
Estonia,EST,2017,33.7677797286828
Eswatini,SWZ,2017,46.0645435925559
Ethiopia,ETH,2017,36.4906966538196
Fiji,FJI,2017,38.9973903807964
Finland,FIN,2017,55.5388190665947
France,FRA,2017,33.8008135459028
Gabon,GAB,2017,42.6487454408069
Gambia,GMB,2017,47.1741090509305
Georgia,GEO,2017,38.6340209056672
Germany,DEU,2017,32.978666434609
Ghana,GHA,2017,36.9201294496603
Greece,GRC,2017,34.5747720526995
Greenland,GRL,2017,43.5732856225645
Grenada,GRD,2017,27.3018832497859
Guam,GUM,2017,33.4444263630096
Guatemala,GTM,2017,26.7079016220589
Guinea,GIN,2017,46.0789369979861
Guinea-Bissau,GNB,2017,49.241766695719
Guyana,GUY,2017,31.8908761514523
Haiti,HTI,2017,38.7628560463951
High SDI,,2017,35.3393732397641
High-income,,2017,35.593959466691
High-income Asia Pacific,,2017,35.117643445842
High-middle SDI,,2017,36.5606187656239
Honduras,HND,2017,51.548135506632
Hungary,HUN,2017,32.6222600264227
Iceland,ISL,2017,34.8665828376667
India,IND,2017,30.4947354934011
Indonesia,IDN,2017,41.3840868880262
Iran,IRN,2017,40.7354063719517
Iraq,IRQ,2017,25.0320522094911
Ireland,IRL,2017,34.0714116770586
Israel,ISR,2017,34.0334463449762
Italy,ITA,2017,34.4995336537133
Jamaica,JAM,2017,36.1883803344438
Japan,JPN,2017,34.0672176352137
Jordan,JOR,2017,43.6662656822985
Kazakhstan,KAZ,2017,40.8101723991342
Kenya,KEN,2017,41.2219163523419
Kiribati,KIR,2017,63.682340524325
Kuwait,KWT,2017,18.2939594410336
Kyrgyzstan,KGZ,2017,24.4357608969347
Laos,LAO,2017,37.5618648578386
Latin America and Caribbean,,2017,33.2749370071217
Latvia,LVA,2017,35.7399542799974
Lebanon,LBN,2017,40.3114523053881
Lesotho,LSO,2017,49.1555332473009
Liberia,LBR,2017,40.6802738668449
Libya,LBY,2017,50.6180622233049
Lithuania,LTU,2017,27.9689110249324
Low SDI,,2017,32.6420465521088
Low-middle SDI,,2017,34.8367358098471
Luxembourg,LUX,2017,38.0584600351026
Madagascar,MDG,2017,32.8877190605224
Malawi,MWI,2017,38.6238520309648
Malaysia,MYS,2017,36.9526715388325
Maldives,MDV,2017,29.9003270229834
Mali,MLI,2017,41.4530499685252
Malta,MLT,2017,34.7617291363382
Marshall Islands,MHL,2017,58.5757465548483
Mauritania,MRT,2017,44.4855467361824
Mauritius,MUS,2017,35.5829684324991
Mexico,MEX,2017,33.3322072799225
Micronesia (country),FSM,2017,55.7325929308656
