location,hypertension_total_pop_per1000_men,hypertension_total_pop_per1000_women,hypertension_prevalence_men,hypertension_prevalence_men_std_err,hypertension_prevalence_women,hypertension_prevalence_women_std_err 
Antigua and Barbuda,26,30,25.8,17.4,24.8,16.0
Aruba,34,39,30.2,18.2,30.2,17.3
Australia,8199,8454,34.8,0.4,32.8,0.3
Austria,3200,3459,44.9,18.4,38.8,16.3
Bahamas,119,128,25.2,17.1,25.6,15.8
Bahrain,620,315,23.8,19.9,27.4,19.4
Barbados,101,105,28.1,17.3,29.8,16.3
Belgium,4087,4356,39.4,18.1,35.0,16.2
Brunei Darussalam,130,129,29.1,19.2,32.0,19.5
Canada,12900,13377,22.7,0.9,23.9,0.8
Channel Islands,62,64,38.6,18.2,34.2,16.2
Chile,5791,6070,31.7,1.0,28.2,0.7
Croatia,1626,1802,43.7,18.7,38.5,16.9
Curacao,47,60,32.3,18.1,32.5,17.3
Cyprus,418,405,34.0,17.7,29.5,14.8
Czechia,4101,4343,48.2,1.0,42.6,0.8
Denmark,2062,2139,39.9,18.2,34.6,16.4
Equatorial Guinea,183,167,28.2,19.0,25.2,17.3
Estonia,461,564,45.5,19.0,42.9,16.9
Finland,2010,2136,54.6,1.1,46.6,0.9
France,22676,25111,38.0,1.6,38.5,1.2
French Polynesia,92,87,30.5,18.3,24.5,15.7
Germany,32745,34812,35.6,0.9,34.2,0.8
Greece,4366,4583,39.2,17.9,36.4,16.2
Guam,51,50,30.0,17.9,21.9,13.7
Hong Kong,2638,3125,34.5,18.2,24.7,14.5
Iceland,114,114,36.2,17.8,31.0,15.3
Ireland,1588,1652,46.0,1.2,32.2,1.1
Israel,2339,2496,33.8,17.6,40.1,17.2
Italy,23471,25592,45.7,0.7,36.5,0.5
Japan,50262,54114,46.7,1.4,37.5,0.9
"Korea, South",18204,18952,28.6,0.9,23.5,0.7
Kuwait,1291,733,24.5,19.9,26.5,19.7
Latvia,738,928,44.7,1.6,36.7,1.0
Lithuania,1068,1320,43.5,19.3,40.5,16.7
Luxembourg,191,197,48.5,1.5,37.1,1.3
Macao,202,226,29.7,18.1,20.0,14.0
