location,city,largest_city
United States,New York City,New York City
United Kingdom,London,London
Turkey,Istanbul,Istanbul
Switzerland,Zürich,Zürich
Sweden,Stockholm,Stockholm
Spain,Madrid,Madrid
Slovenia,Ljubljana,Ljubljana
Slovakia,Bratislava,Bratislava
Portugal,Lisbon,Lisbon
Poland,Warsaw,Warsaw
Norway,Oslo,Oslo
New Zealand,Auckland,Auckland
Netherlands,Amsterdam,Amsterdam
Mexico,Mexico City,Mexico City
Luxembourg,Luxembourg City,Luxembourg City
Lithuania,Vilnius,Vilnius
Latvia,Riga,Riga
South Korea,Seoul,Seoul
Japan,Tokyo,Tokyo
Italy,Rome,Rome
Israel,Jerusalem,Jerusalem
Ireland,Dublin,Dublin
Iceland,Reykjavík,Reykjavík
Hungary,Budapest,Budapest
Greece,Athens,Athens
Germany,Berlin,Berlin
France,Paris,Paris
Finland,Helsinki,Helsinki
Estonia,Tallinn,Tallinn
Denmark,Copenhagen,Copenhagen
Czechia,Prague,Prague
Costa Rica,San José,San José
Colombia,Medellín,Medellín
Chile,Santiago de Chile,Santiago de Chile
Canada,Toronto,Toronto
Belgium,Brussels,Brussels
Austria,Vienna,Vienna
Australia,Melbourne,Melbourne
