Entity,Code,Year,Deaths - Cause: All causes - Risk: Outdoor air pollution - OWID - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: High systolic blood pressure - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Diet high in sodium - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Diet low in whole grains - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Alcohol use - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Diet low in fruits - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Unsafe water source - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Secondhand smoke - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Low birth weight - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Child wasting - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Unsafe sex - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Diet low in nuts and seeds - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Household air pollution from solid fuels - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Diet low in vegetables - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Low physical activity - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Smoking - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: High fasting plasma glucose - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Air pollution - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: High body-mass index - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Unsafe sanitation - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: No access to handwashing facility - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Drug use - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Low bone mineral density - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Vitamin A deficiency - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Child stunting - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Discontinued breastfeeding - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Non-exclusive breastfeeding - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Iron deficiency - Sex: Both - Age: All Ages (Number)
Afghanistan,AFG,2019,9153.84717196423,36017.170721452,1421.83288359653,10334.8661651262,583.029431834104,4582.98389542316,3750.70531980785,6061.57392192112,22132.4903007542,12284.7738008739,741.207418374434,3268.83507569002,28168.4163742955,5147.98072531088,4117.16877707001,10305.8691060556,24887.6924341658,37033.0600177789,22048.094280735,2592.46826804659,3941.35771529747,699.908971599834,631.51386555549,392.736849469336,3071.42678727152,275.962209769647,1762.70529323765,761.42029124484
Africa,,2019,394718.736772128,1054071.6701444,85039.2775504795,161879.51328405,280175.392524396,86739.8557522051,516789.169665363,99558.9350005284,716623.974049272,629922.404734706,607742.38249921,39455.0644867411,696930.342092208,67416.3662262293,82787.7877300951,368265.176337105,638611.443592831,1086283.12072535,578819.6419252,365913.040206523,343027.448210555,42205.5170078775,33828.3858502754,20474.8806548086,113364.318919729,4999.73441281361,93477.7236185204,21972.1409108222
African Region,,2019,245490.828176578,718298.886794405,71736.449097715,88234.1301160387,270441.357331868,74276.2077722341,492202.079009306,63688.2037008307,670297.104570579,584478.454541708,596450.319003668,19594.2504612149,656085.281154422,59655.0660589419,36619.0779356931,236433.217831102,437337.867081257,897242.362701473,361538.861657809,347980.392999271,327472.508049663,36543.4530928447,26559.5577486372,18084.2396711528,107069.049210793,4466.78775903989,86145.685265251,20496.7802929368
African Union,,2019,394718.736772128,1054071.6701444,85039.2775504795,161879.51328405,280175.392524396,86739.8557522051,516789.169665363,99558.9350005284,716623.974049272,629922.404734706,607742.38249921,39455.0644867411,696930.342092208,67416.3662262293,82787.7877300951,368265.176337105,638611.443592831,1086283.12072535,578819.6419252,365913.040206523,343027.448210555,42205.5170078775,33828.3858502754,20474.8806548086,113364.318919729,4999.73441281361,93477.7236185204,21972.1409108222
Albania,ALB,2019,1556.4191119205,7609.21155501793,2444.6822090352,1519.78896992228,736.671768278085,217.156882269812,3.78011775130364,773.714136194521,105.83361615945,33.2537780293628,66.0874201333215,378.987681013731,724.276553721393,50.5964565449536,309.929582815742,4424.7221805428,2158.46300857488,2276.26644132487,3119.74184408,1.28802185076115,8.12329506975753,129.683699487139,64.8986441219508,0.100604667421525,9.53412630123371,0.043485979654369,3.89626274644764,0.381268099080132
Algeria,DZA,2019,22229.2495361448,58601.5834619668,1909.83312456865,14771.9803543778,1284.97342441472,2648.46485064865,276.99745367583,7670.41133747079,7091.80763852619,744.927298685851,935.7856906925,5697.17684272969,66.2905143401068,2740.93788405955,9579.85226160666,21555.3721317437,38977.8509321162,22161.9468673049,36087.399210232,85.9666288551155,325.857242663148,1030.34262210401,1372.2597984011,2.79219865852768,68.1577220225676,10.7156093213059,145.736363072603,93.9498663139811
America,,2019,240347.07261672,1230167.12022117,143342.258180158,214301.368082457,370331.485444638,81185.1676815428,18121.6119532332,107493.828677352,74432.4702866988,46608.5290819059,88036.6095611689,37940.1605192178,59469.3520481739,78798.4275505917,121014.546832035,964914.095842768,1063762.18164397,298190.660803198,940264.940575207,10275.3329000029,18896.5598357633,130060.831361361,61233.6556366943,153.136058239924,2392.41145076964,363.28045662928,4168.77238978056,1504.4099699699
American Samoa,ASM,2019,8.09343783171735,86.6692921357489,6.47448784104322,15.6903905248955,2.08631294352685,8.18144765389545,2.010538455626,15.2180749618897,3.22422703320041,2.79260161004765,2.79774496895825,0.339211119785288,5.80123814110434,8.01346351514393,11.7702478983248,54.9509153066294,101.673819550127,13.8719380409094,94.7559871082008,0.40006984898984,0.412116415672025,2.28484266946508,1.62093394904562,0.021887739144479,0.118350693380724,0.005151228367836,0.102218684667864,0.138421094465093
Andean Latin America,,2019,17303.0052294173,40997.2939994847,6161.81151527937,6886.67985536111,13774.3103496067,2585.44160351001,1446.78620536689,2495.00333490526,7522.2733085281,4192.47743040742,7626.09912699936,2384.77516304056,5191.58131427809,3625.62594988399,3183.79744338278,12822.7873542488,35930.0543075546,22430.4412178579,36792.0915691569,814.229787887716,2646.48305697005,1036.6170657222,2277.70379131036,8.14624172033647,335.572320930412,18.0035888965259,300.929438386786,198.61917047019
Andorra,AND,2019,13.6382117874287,100.602323070108,5.91447526676137,19.1943085093446,40.3498885242079,4.72111045328243,0.019591880881218,7.63963053008459,0.285973839501712,0.182631991666536,5.72287924365789,2.37178785675252,0.02342182430744,3.03955463880516,12.7445692899479,106.491638301467,54.1587238219513,13.507520478621,57.8291924479047,0.010809185249137,0.215402603744863,5.99309770147866,12.0187395871457,1.24640491216483E-05,0.000720162950172,0.000523510906564,0.003608866603863,0.001116784769786
