location,Code,Year,prob_of_dying_30_70_from_any_of_cardiovascular_cancer_diabetes_chronic_respiratory_female,prob_of_dying_30_70_from_any_of_cardiovascular_cancer_diabetes_chronic_respiratory_male,prob_of_dying_30_70_from_any_of_cardiovascular_cancer_diabetes_chronic_respiratory,Population (historical estimates),Continent
Afghanistan,AFG,2019,36.16185,34.37412,35.267985,38041757,
Africa,,2019,19.60895,22.13162,20.870285,1308064176,
Albania,ALB,2019,6.04557,16.68139,11.36348,2880913,
Algeria,DZA,2019,12.81713,14.8553,13.836215,43053054,
American Samoa,ASM,2019,,,0,55312,
Americas,,2019,11.82226,16.42605,14.124155,,
Andorra,AND,2019,,,0,77146,
Angola,AGO,2019,19.38185,25.22424,22.303045,31825299,
Anguilla,AIA,2019,,,0,14872,
Antigua and Barbuda,ATG,2019,17.57964,17.50648,17.54306,97115,
Argentina,ARG,2019,12.13572,19.70748,15.9216,44780675,
Armenia,ARM,2019,13.37903,27.99897,20.689,2957728,
Aruba,ABW,2019,,,0,106310,
Asia,,2019,,,0,4600172691,
Australia,AUS,2019,6.84083,10.36163,8.60123,25203200,
Australia and New Zealand,,2019,5.6,8.4,7,,
Austria,AUT,2019,7.89751,12.93048,10.413995,8955108,
Azerbaijan,AZE,2019,20.41903,34.35508,27.387055,10047719,
Bahamas,BHS,2019,16.63826,23.57082,20.10454,389486,
Bahrain,BHR,2019,15.4298,16.38267,15.906235,1641164,
Bangladesh,BGD,2019,16.24701,21.21914,18.733075,163046173,
Barbados,BRB,2019,14.60594,17.48307,16.044505,287021,
Belarus,BLR,2019,13.56404,35.70079,24.632415,9452409,
Belgium,BEL,2019,8.18572,12.97318,10.57945,11539326,
Belize,BLZ,2019,14.32824,18.5173,16.42277,390351,
Benin,BEN,2019,20.95486,24.48938,22.72212,11801151,
Bermuda,BMU,2019,,,0,62508,
Bhutan,BTN,2019,17.15119,19.57084,18.361015,763094,
Bolivia,BOL,2019,18.32423,17.45573,17.88998,11513102,
Bonaire Sint Eustatius and Saba,BES,2019,,,0,25983,
Bosnia and Herzegovina,BIH,2019,13.6442,23.95483,18.799515,3300998,
Botswana,BWA,2019,22.65624,32.67685,27.666545,2303703,
Brazil,BRA,2019,12.65531,18.64404,15.649675,211049519,
British Virgin Islands,VGB,2019,,,0,30033,
Brunei,BRN,2019,16.74139,20.20572,18.473555,433296,
Bulgaria,BGR,2019,16.38867,32.14942,24.269045,7000117,
Burkina Faso,BFA,2019,22.08354,26.3973,24.24042,20321383,
Burundi,BDI,2019,23.21963,26.89445,25.05704,11530577,
Cambodia,KHM,2019,18.81115,27.49423,23.15269,16486542,
Cameroon,CMR,2019,22.32152,25.68502,24.00327,25876387,
Canada,CAN,2019,8.01182,11.24308,9.62745,37411038,
Cape Verde,CPV,2019,12.69489,23.17329,17.93409,549936,
Cayman Islands,CYM,2019,,,0,64947,
Central African Republic,CAF,2019,31.79984,40.91103,36.355435,4745179,
Central Asia and Southern Asia,,2019,13.9,18.6,16.25,,
Chad,TCD,2019,22.6121,22.91541,22.763755,15946882,
Channel Islands,OWID_CIS,2019,,,0,172264,
Chile,CHL,2019,8.25523,11.97786,10.116545,18952035,
China,CHN,2019,11.2267,20.23156,15.72913,1433783692,
Colombia,COL,2019,8.85334,10.77118,9.81226,50339443,
Comoros,COM,2019,20.57235,20.71358,20.642965,850891,
Congo,COG,2019,22.31896,22.96151,22.640235,5380504,
Cook Islands,COK,2019,,,0,17547,
Costa Rica,CRI,2019,8.08026,11.04941,9.564835,5047561,
Cote d'Ivoire,CIV,2019,19.47103,23.6246,21.547815,25716554,
Croatia,HRV,2019,10.51811,21.79666,16.157385,4130299,
Cuba,CUB,2019,13.46613,19.8425,16.654315,11333484,
Curacao,CUW,2019,,,0,163423,
Cyprus,CYP,2019,5.74392,10.67678,8.21035,1198574,
Czechia,CZE,2019,9.8088,18.83027,14.319535,10689213,
Democratic Republic of Congo,COD,2019,22.24394,25.97752,24.11073,86790568,
Denmark,DNK,2019,9.00499,12.56388,10.784435,5771877,
Djibouti,DJI,2019,20.59985,23.42587,22.01286,973557,
Dominica,DMA,2019,,,0,71808,
Dominican Republic,DOM,2019,16.22097,22.12487,19.17292,10738957,
Eastern Asia and South-eastern Asia,,2019,9,15.8,12.4,,
Eastern Mediterranean,,2019,21.80966,27.10405,24.456855,,
Ecuador,ECU,2019,10.33245,11.79355,11.063,17373657,
Egypt,EGY,2019,23.21557,32.73745,27.97651,100388076,
El Salvador,SLV,2019,9.56049,12.17354,10.867015,6453550,
Equatorial Guinea,GNQ,2019,22.77886,22.0765,22.42768,1355982,
Eritrea,ERI,2019,24.34764,29.49623,26.921935,3497117,
Estonia,EST,2019,8.83945,22.09626,15.467855,1325649,
Eswatini,SWZ,2019,24.10584,45.16491,34.635375,1148133,
Ethiopia,ETH,2019,16.90312,17.3688,17.13596,112078727,
Europe,,2019,11.3388,21.73254,16.53567,748381389,
Faeroe Islands,FRO,2019,,,0,48677,
Falkland Islands,FLK,2019,,,0,3372,
Fiji,FJI,2019,33.4329,41.83677,37.634835,889955,
Finland,FIN,2019,6.84981,12.40962,9.629715,5532159,
France,FRA,2019,7.33377,14,10.666885,65129731,
French Guiana,GUF,2019,,,0,290823,
French Polynesia,PYF,2019,,,0,279285,
