location,code,year,prevalence_of_overweight_adults_both_sexes
Afghanistan,AFG,2016,19.7
Africa,,2016,31.1
Albania,ALB,2016,58.7
Algeria,DZA,2016,60.7
Americas,,2016,62.5
Andorra,AND,2016,68.1
Angola,AGO,2016,23.9
Antigua and Barbuda,ATG,2016,48.4
Argentina,ARG,2016,63.4
Armenia,ARM,2016,55.7
Australia,AUS,2016,67.2
Austria,AUT,2016,58.1
Azerbaijan,AZE,2016,53.5
Bahamas,BHS,2016,65.2
Bahrain,BHR,2016,64.4
Bangladesh,BGD,2016,19
Barbados,BRB,2016,55.3
Belarus,BLR,2016,62.9
Belgium,BEL,2016,64.1
Belize,BLZ,2016,51.8
Benin,BEN,2016,26.3
Bhutan,BTN,2016,25.4
Bolivia,BOL,2016,53.2
Bosnia and Herzegovina,BIH,2016,56.4
Botswana,BWA,2016,38.4
Brazil,BRA,2016,56.9
Brunei,BRN,2016,42.2
Bulgaria,BGR,2016,66.3
Burkina Faso,BFA,2016,20
Burundi,BDI,2016,19.3
Cambodia,KHM,2016,20.3
Cameroon,CMR,2016,29.7
Canada,CAN,2016,67.5
Cape Verde,CPV,2016,32.1
Central African Republic,CAF,2016,23.2
Chad,TCD,2016,19.5
Chile,CHL,2016,64.4
China,CHN,2016,33.8
Colombia,COL,2016,58.6
Comoros,COM,2016,24.8
Congo,COG,2016,28.1
Cook Islands,COK,2016,83.9
Costa Rica,CRI,2016,61.5
Cote d'Ivoire,CIV,2016,28.7
Croatia,HRV,2016,64.3
Cuba,CUB,2016,62.2
Cyprus,CYP,2016,60.8
Czechia,CZE,2016,66.7
Democratic Republic of Congo,COD,2016,22.1
Denmark,DNK,2016,59.2
Djibouti,DJI,2016,35.7
Dominica,DMA,2016,60.7
Dominican Republic,DOM,2016,59.9
Eastern Mediterranean,,2016,49
Ecuador,ECU,2016,54.9
Egypt,EGY,2016,61.9
El Salvador,SLV,2016,56.8
Equatorial Guinea,GNQ,2016,25.1
Eritrea,ERI,2016,19.2
Estonia,EST,2016,60.4
Eswatini,SWZ,2016,33
Ethiopia,ETH,2016,18.1
Europe,,2016,58.7
Fiji,FJI,2016,63.4
Finland,FIN,2016,62.5
France,FRA,2016,62.9
Gabon,GAB,2016,36.9
Gambia,GMB,2016,27.9
Georgia,GEO,2016,57.2
Germany,DEU,2016,62.8
Ghana,GHA,2016,29.3
Greece,GRC,2016,67.1
Grenada,GRD,2016,49.4
Guatemala,GTM,2016,51.4
Guinea,GIN,2016,23.8
Guinea-Bissau,GNB,2016,26.9
Guyana,GUY,2016,47.5
Haiti,HTI,2016,51.1
Honduras,HND,2016,51.9
Hungary,HUN,2016,65.4
Iceland,ISL,2016,61.5
India,IND,2016,19.3
Indonesia,IDN,2016,28.3
Iran,IRN,2016,60.9
Iraq,IRQ,2016,59.8
Ireland,IRL,2016,63.6
Israel,ISR,2016,65.3
Italy,ITA,2016,64.1
Jamaica,JAM,2016,55
Japan,JPN,2016,29.4
Jordan,JOR,2016,66.5
Kazakhstan,KAZ,2016,53.9
Kenya,KEN,2016,22.6
Kiribati,KIR,2016,78
Kuwait,KWT,2016,72.1
Kyrgyzstan,KGZ,2016,45.8
Laos,LAO,2016,22.6
Latvia,LVA,2016,61.7
Lebanon,LBN,2016,66.9
Lesotho,LSO,2016,33.2
Liberia,LBR,2016,27.8
Libya,LBY,2016,65.7
Lithuania,LTU,2016,62.9
Luxembourg,LUX,2016,61.7
Madagascar,MDG,2016,21.1
Malawi,MWI,2016,20.1
Malaysia,MYS,2016,41.7
Maldives,MDV,2016,28.5
Mali,MLI,2016,24.4
Malta,MLT,2016,70
Marshall Islands,MHL,2016,82.7
Mauritania,MRT,2016,31.5
Mauritius,MUS,2016,33.8
Mexico,MEX,2016,64.1
Micronesia (country),FSM,2016,70.1
Moldova,MDA,2016,54.1
Mongolia,MNG,2016,53.9
Montenegro,MNE,2016,62.3
Morocco,MAR,2016,59.5
Mozambique,MOZ,2016,23.1
Myanmar,MMR,2016,24.6
Namibia,NAM,2016,36.6
Nauru,NRU,2016,87.9
Nepal,NPL,2016,19.6
Netherlands,NLD,2016,62.6
New Zealand,NZL,2016,68
Nicaragua,NIC,2016,54.8
Niger,NER,2016,19.7
Nigeria,NGA,2016,26
Niue,NIU,2016,79.1
North Korea,PRK,2016,33.5
North Macedonia,MKD,2016,60.9
Norway,NOR,2016,61.7
Oman,OMN,2016,56
Pakistan,PAK,2016,26.2
Palau,PLW,2016,84.4
Panama,PAN,2016,58.5
Papua New Guinea,PNG,2016,49.3
Paraguay,PRY,2016,50.9
Peru,PER,2016,56.3
Philippines,PHL,2016,26.1
Poland,POL,2016,62.4
Portugal,PRT,2016,62.3
Qatar,QAT,2016,70.3
Romania,ROU,2016,61.4
Russia,RUS,2016,61.1
Rwanda,RWA,2016,22
Saint Kitts and Nevis,KNA,2016,52.7
Saint Lucia,LCA,2016,48.3
Saint Vincent and the Grenadines,VCT,2016,55
Samoa,WSM,2016,75.1
Sao Tome and Principe,STP,2016,31.6
Saudi Arabia,SAU,2016,69
Senegal,SEN,2016,24.9
Serbia,SRB,2016,60.7
Seychelles,SYC,2016,38.1
Sierra Leone,SLE,2016,24.9
Singapore,SGP,2016,33.6
Slovakia,SVK,2016,59.7
Slovenia,SVN,2016,60.7
Solomon Islands,SLB,2016,51.3
Somalia,SOM,2016,24.7
South Africa,ZAF,2016,51.9
South Korea,KOR,2016,32.1
South-East Asia,,2016,21.9
Spain,ESP,2016,67.2
Sri Lanka,LKA,2016,24.2
Sudan (former),,2016,25.7
Suriname,SUR,2016,59
Sweden,SWE,2016,59.9
Switzerland,CHE,2016,57.9
Syria,SYR,2016,57.9
Tajikistan,TJK,2016,41.7
Tanzania,TZA,2016,24.5
Thailand,THA,2016,34.7
Timor,TLS,2016,17.9
Togo,TGO,2016,25
Tonga,TON,2016,75.6
Trinidad and Tobago,TTO,2016,48.1
Tunisia,TUN,2016,62.2
Turkey,TUR,2016,66.9
Turkmenistan,TKM,2016,49.6
Tuvalu,TUV,2016,81
Uganda,UGA,2016,19
Ukraine,UKR,2016,61.9
United Arab Emirates,ARE,2016,65.9
United Kingdom,GBR,2016,67.2
United States,USA,2016,70.2
Uruguay,URY,2016,64.5
Uzbekistan,UZB,2016,45.7
Vanuatu,VUT,2016,54.1
Venezuela,VEN,2016,62.6
Vietnam,VNM,2016,18.3
Western Pacific,,2016,31.7
World,OWID_WRL,2016,38.9
Yemen,YEM,2016,42.3
Zambia,ZMB,2016,23.9
Zimbabwe,ZWE,2016,32.4
