location,Code,Year,stroke_deaths_per_100k
Afghanistan,AFG,2019,161.513478377632
Africa,,2019,104.598939821028
African Region,,2019,105.573594343175
African Union,,2019,104.598939821028
Albania,ALB,2019,136.034141808551
Algeria,DZA,2019,101.476641374946
America,,2019,40.3280282728124
American Samoa,ASM,2019,99.1016686335973
Andean Latin America,,2019,37.2822172861568
Andorra,AND,2019,22.9810938752187
Angola,AGO,2019,116.186118222049
Antigua and Barbuda,ATG,2019,72.471394958868
Argentina,ARG,2019,47.3140301646112
Armenia,ARM,2019,67.2376419197629
Asia,,2019,101.753667240055
Australasia,,2019,27.0770921092386
Australia,AUS,2019,26.1893579229868
Austria,AUT,2019,24.6403436089815
Azerbaijan,AZE,2019,172.374423130638
Bahamas,BHS,2019,62.5110483095754
Bahrain,BHR,2019,52.8066135772945
Bangladesh,BGD,2019,140.038191399669
Barbados,BRB,2019,66.7006565914067
Belarus,BLR,2019,103.316299801845
Belgium,BEL,2019,32.6276296805318
Belize,BLZ,2019,55.4708726683789
Benin,BEN,2019,117.941046584259
Bermuda,BMU,2019,32.2390445806206
Bhutan,BTN,2019,69.4166251582153
Bolivia,BOL,2019,68.6363189778931
Bosnia and Herzegovina,BIH,2019,134.895648529291
Botswana,BWA,2019,133.208801479555
Brazil,BRA,2019,58.1321771976255
Brunei,BRN,2019,77.4821806874697
Bulgaria,BGR,2019,191.543337520843
Burkina Faso,BFA,2019,95.2761337367197
Burundi,BDI,2019,125.553267937317
Cambodia,KHM,2019,152.994877567765
Cameroon,CMR,2019,110.517926485066
Canada,CAN,2019,23.5925979092278
Cape Verde,CPV,2019,80.7093684943702
Caribbean,,2019,75.5388766047558
Central African Republic,CAF,2019,163.266036129478
Central Asia,,2019,159.234481386218
Central Europe,,2019,95.1834921731751
"Central Europe, Eastern Europe, and Central Asia",,2019,121.62747421663
Central Latin America,,2019,39.0900518946809
Central sub-Saharan Africa,,2019,118.518125515489
Chad,TCD,2019,116.377840011884
Chile,CHL,2019,44.3320461691384
China,CHN,2019,127.249735194965
Colombia,COL,2019,30.8749677866997
Commonwealth,,2019,76.1292928413211
Commonwealth High Income,,2019,30.3790123677531
Commonwealth Low Income,,2019,131.121219749944
Commonwealth Middle Income,,2019,76.59528429231
Comoros,COM,2019,104.606934776057
Congo,COG,2019,126.46610515096
Cook Islands,COK,2019,62.2109946090478
Costa Rica,CRI,2019,28.4564976557773
Cote d'Ivoire,CIV,2019,102.179299788035
Croatia,HRV,2019,78.9224106855805
Cuba,CUB,2019,53.9565242626336
Cyprus,CYP,2019,45.8391319820295
Czechia,CZE,2019,51.7368919203753
Democratic Republic of Congo,COD,2019,117.038353925789
Denmark,DNK,2019,35.1293533933168
Djibouti,DJI,2019,108.919767251349
Dominica,DMA,2019,73.7378235746753
Dominican Republic,DOM,2019,92.7116745894649
East Asia,,2019,125.831656915804
East Asia & Pacific,,2019,109.601473992917
Eastern Europe,,2019,131.012461001174
Eastern Mediterranean Region,,2019,101.367000282387
Eastern sub-Saharan Africa,,2019,115.389707697481
Ecuador,ECU,2019,44.9278628025245
Egypt,EGY,2019,85.7191182122756
El Salvador,SLV,2019,34.417927228658
England,,2019,32.9386441709621
Equatorial Guinea,GNQ,2019,93.888265257217
Eritrea,ERI,2019,132.432949359825
Estonia,EST,2019,39.3723117726368
Eswatini,SWZ,2019,136.778360638589
Ethiopia,ETH,2019,90.1798271364049
Europe,,2019,64.362509219934
Europe & Central Asia,,2019,66.7874541845725
European Region,,2019,66.7696897245917
European Union,,2019,42.0383604269477
Fiji,FJI,2019,107.715770896499
Finland,FIN,2019,37.6903802432954
Four World Regions,,2019,84.2550741478806
France,FRA,2019,24.5434406696976
G20,,2019,78.876669957586
Gabon,GAB,2019,100.843970055521
Gambia,GMB,2019,115.769070697669
Georgia,GEO,2019,158.608385718191
Germany,DEU,2019,31.0818468302384
Ghana,GHA,2019,134.531732686097
Greece,GRC,2019,64.223139625696
Greenland,GRL,2019,78.9776084155203
Grenada,GRD,2019,94.5015172997208
Guam,GUM,2019,50.6018071463322
Guatemala,GTM,2019,48.5445130106603
Guinea,GIN,2019,117.5637690946
Guinea-Bissau,GNB,2019,143.924446000041
Guyana,GUY,2019,154.759300116677
Haiti,HTI,2019,169.335177966705
