,location,max(norm_mental_health_and_substance_use_deaths),max(norm_prob_of_dying_30_70_from_any_of_cardiovascular_cancer_diabetes_chronic_respiratory),max(norm_hypertension_prevalence_men),max(norm_hypertension_prevalence_women),max(norm_hypertension_prevalence),max(norm_dementia_death_rate_per_100k),max(norm_stroke_deaths_per_100k),max(norm_diabetes_prevalence_per_100_ages_20to79),max(norm_median_age),max(norm_pop_over_65_per_100_2019),max(norm_prevalence_of_obesity_both_sexes),max(norm_prevalence_of_overweight_adults_both_sexes),sum(norm_total_vaccinations_per_hundred),sum(norm_daily_cases_per_100k_biweekly_avg),sum(daily_deaths_per_100k_biweekly_avg)
0,Albania,0.0192773317096772,0.212725495108684,0.7619047619047619,0.7786561264822134,0.800395256916996,0.4016715353690949,0.45382698455964193,0.5631067961165048,0.5119617213433759,0.5071996867025872,0.5454545454545454,0.7181372549019608,57.330957609911735,21.845030198822755,114.32563365535025
1,Australia,0.23312262300935585,0.06884564318421774,0.6373626373626373,0.6482213438735177,0.6679841897233201,0.2731480692626644,0.017560733880091165,0.233009708737864,0.5071771284997963,0.5685727350862558,0.7742946708463949,0.9264705882352942,103.45506153399909,21.095211079700523,11.431854434028644
2,Austria,0.7796932298556017,0.16326879813900286,0.8223443223443223,0.7667984189723319,0.8270750988142291,0.2545888300606551,0.011408574049506253,0.3300970873786407,0.818181883427571,0.6812217954627874,0.4952978056426332,0.7034313725490196,177.0395723697841,40.468915096292434,179.0992201385926
3,Belarus,0.03528514583540484,0.9038766953966261,0.804029304029304,0.8992094861660079,0.883399209486166,0.49439833093847757,0.32388280553097,0.17475728155339804,0.6220095098555493,0.5428474609366026,0.6332288401253918,0.821078431372549,43.50366717772345,20.870485835114135,62.226863938674555
4,Belgium,0.27770955051099583,0.17188700463738732,0.7216117216117216,0.691699604743083,0.7351778656126483,0.31105132180321593,0.04313136710602926,0.13592233009708732,0.693779837915805,0.6787562538143478,0.5579937304075235,0.8504901960784311,192.17991961214932,50.50403396725245,265.78316711234146
5,Bosnia and Herzegovina,0.01999923399025556,0.6000530775886003,0.8351648351648352,0.8537549407114625,0.8774703557312253,0.5838702824326194,0.44930527513660673,0.5631067961165048,0.727272705524143,0.6142818690038944,0.4263322884012538,0.6617647058823529,34.80572245473004,24.036591241370118,426.57411747999373
6,Bulgaria,0.05036623693949942,0.884949508576536,0.8333333333333333,0.9189723320158103,0.9090909090909091,0.46146108803363706,0.6742906955799847,0.27184466019417475,0.8325359011927367,0.758978996863119,0.6489028213166144,0.9044117647058822,45.36520532051547,28.24004277139911,484.11875032171395
7,Canada,0.2342799478458668,0.12229930655354558,0.4157509157509157,0.4723320158102766,0.4604743083003952,0.1783657008231335,0.007247283254183916,0.4271844660194174,0.6746412273070597,0.6302359057665572,0.7868338557993729,0.9338235294117646,152.932726971367,20.61221008901489,84.03852947156385
8,Chile,0.0020156322171251597,0.1477752468837101,0.5805860805860805,0.5573122529644269,0.591897233201581,0.3650925289185398,0.0896173422907588,0.524271844660194,0.3875599150660369,0.4243096642638792,0.7429467084639497,0.857843137254902,195.44706418596942,24.13287215614094,205.33803034882288
9,Colombia,0.0005514472613014755,0.13192567470782585,0.5256410256410257,0.567193675889328,0.567193675889328,0.09060132484086593,0.036170388112910797,0.4077669902912621,0.23444983402393935,0.31304244629847866,0.5642633228840125,0.7156862745098039,81.74584593709858,25.499009093383695,256.7839052351225
10,Costa Rica,0.0017801999352362787,0.11903782155825177,0.0,0.0,0.0,0.14952309997333893,0.026565044471858236,0.5728155339805824,0.3014353300061885,0.35284686578094704,0.670846394984326,0.7867647058823529,106.53841213276426,27.309025522288902,144.74734658589543
11,Croatia,0.06860973028610433,0.4624300263929482,0.8003663003663004,0.7608695652173912,0.8122529644268774,0.4124479885351018,0.22699854605322872,0.21359223300970875,0.7990430335843987,0.7449503080164575,0.6300940438871472,0.855392156862745,96.59259105788753,39.69609214034055,334.1290069204737
12,Czechia,0.04627764811938492,0.36670024601123746,0.8827838827838829,0.841897233201581,0.8972332015810277,0.353840722125947,0.11902687980797061,0.3689320388349514,0.7655501659760606,0.7071177058575882,0.6802507836990594,0.9142156862745098,119.50084945924667,44.74859836968954,344.4778937240022
13,Denmark,0.16201492213250077,0.1825642465404507,0.7307692307692307,0.6837944664031621,0.7361660079051383,0.30055313068534756,0.053067365756177924,0.49514563106796117,0.7177032806025568,0.7129927860223159,0.4827586206896551,0.7303921568627452,196.42066879376785,51.0799630629395,67.70924436994426
14,Estonia,0.9846240307878654,0.4265138441873269,0.8333333333333333,0.8478260869565217,0.8735177865612649,0.31848396577536237,0.06991895832577819,0.0970873786407767,0.7368421304457291,0.7139408827440882,0.5297805642633228,0.7598039215686274,124.32610947665022,42.26249982261148,161.47035094535374
15,Finland,0.37052764386719356,0.1224172856881673,1.0,0.9209486166007905,1.0,1.0,0.06323889636698793,0.233009708737864,0.7416267232893088,0.7906794393597575,0.561128526645768,0.8112745098039216,184.8505780466581,24.277839469506322,40.03112682414552
16,France,0.3993588637463807,0.17644131176129568,0.6959706959706959,0.7608695652173912,0.7559288537549407,0.319518049438418,0.011023708419061225,0.15533980582524268,0.7033492628373911,0.7282099277621008,0.5423197492163009,0.821078431372549,188.01035925910577,50.26922396518332,199.5768655419808
17,Germany,0.5413975972148629,0.2502832280549694,0.652014652014652,0.6758893280632411,0.6897233201581029,0.2937817292682332,0.03699204155403211,0.6990291262135923,0.9234448398617378,0.7700505097673392,0.5642633228840125,0.818627450980392,173.27916131438278,28.518524338443008,156.02202553274617
18,Greece,0.2623273985828448,0.2771559059104681,0.717948717948718,0.7193675889328063,0.7470355731225296,0.343745883673598,0.16861802359074152,0.14563106796116504,0.8612439367230682,0.7835665850187924,0.6457680250783698,0.9240196078431371,155.99701653337752,39.390227447664934,249.63072986518165
19,Hungary,0.044033389603129414,0.7920603428114246,0.8461538461538461,0.9367588932806323,0.9249011857707509,0.2826248580638164,0.1656929390493326,0.3592233009708738,0.7703349980540672,0.7033220108753205,0.6927899686520375,0.8823529411764707,167.8352515228111,33.123581967306116,474.96458065431267
20,Iceland,0.053948599271321604,0.07076977088087444,0.6630036630036631,0.6126482213438735,0.6640316205533597,0.3528806670814119,0.0015779692689391904,0.25242718446601936,0.4784688537350379,0.5425360452640893,0.5517241379310344,0.7867647058823529,166.10177764886254,30.22088964091448,12.047054011087939
21,Ireland,0.05827758321630648,0.12437605185039725,0.8424908424908425,0.6363636363636364,0.7727272727272727,0.32798879639503015,0.03317449104450368,0.0,0.545454588951714,0.507921066927641,0.658307210031348,0.8382352941176471,189.2553971739941,51.44059981503798,128.85056585477062
22,Israel,0.010275394204251994,0.08212545791791048,0.619047619047619,0.7924901185770751,0.7302371541501976,0.3268003376284446,0.017202413798177094,0.6310679611650484,0.15789476957944795,0.43599217659072587,0.6833855799373041,0.8799019607843136,206.266647329383,40.90390203448813,90.12869597306148
