,date,location,biweekly_cases,biweekly_deaths,year_week,month,week_day,population,preventable_causes_mortality_per_100_k,treatable_causes_mortality_per_100_k,prevalence_of_obesity_both_sexes,prevalence_of_overweight_adults_both_sexes,total_vaccinations_per_hundred,total_boosters_per_hundred,city,largest_city,monthly_average_temperature,monthly_sunshine_hours,diabetes_prevalence_per_100_ages_20to79,median_age,percent_omicron,age_standardized_death_rate_cardiovascular,dementia_death_rate_per_100k,mental_health_and_substance_use_deaths,stroke_deaths_per_100k,pop_over_65_per_100_2019,hypertension_prevalence_men,hypertension_prevalence_women,hypertension_prevalence,prob_of_dying_30_70_from_any_of_cardiovascular_cancer_diabetes_chronic_respiratory_female,prob_of_dying_30_70_from_any_of_cardiovascular_cancer_diabetes_chronic_respiratory_male,prob_of_dying_30_70_from_any_of_cardiovascular_cancer_diabetes_chronic_respiratory,owd_cfr_over_100_cases_only,biweekly_deaths_per_100k,biweekly_cases_per_100k,cfr,daily_deaths_per_100k_biweekly_avg,daily_cases_per_100k_biweekly_avg
5,2020-01-27,Albania,0.0,0.0,2020-05,1,0,2872934.0,,,21.7,58.7,0.0,0.0,,,,,9.0,38.0,,314.035043438923,36.4252078141583,1.4318276378133,136.034141808551,14.2026306207364,41.6,39.4,40.5,6.04557,16.68139,11.36348,,0.0,0.0,0.0,0.0,0.0
12,2020-02-03,Albania,0.0,0.0,2020-06,2,0,2872934.0,,,21.7,58.7,0.0,0.0,,,,,9.0,38.0,,314.035043438923,36.4252078141583,1.4318276378133,136.034141808551,14.2026306207364,41.6,39.4,40.5,6.04557,16.68139,11.36348,,0.0,0.0,0.0,0.0,0.0
19,2020-02-10,Albania,0.0,0.0,2020-07,2,0,2872934.0,,,21.7,58.7,0.0,0.0,,,,,9.0,38.0,,314.035043438923,36.4252078141583,1.4318276378133,136.034141808551,14.2026306207364,41.6,39.4,40.5,6.04557,16.68139,11.36348,,0.0,0.0,0.0,0.0,0.0
26,2020-02-17,Albania,0.0,0.0,2020-08,2,0,2872934.0,,,21.7,58.7,0.0,0.0,,,,,9.0,38.0,,314.035043438923,36.4252078141583,1.4318276378133,136.034141808551,14.2026306207364,41.6,39.4,40.5,6.04557,16.68139,11.36348,,0.0,0.0,0.0,0.0,0.0
33,2020-02-24,Albania,0.0,0.0,2020-09,2,0,2872934.0,,,21.7,58.7,0.0,0.0,,,,,9.0,38.0,,314.035043438923,36.4252078141583,1.4318276378133,136.034141808551,14.2026306207364,41.6,39.4,40.5,6.04557,16.68139,11.36348,,0.0,0.0,0.0,0.0,0.0
40,2020-03-02,Albania,0.0,0.0,2020-10,3,0,2872934.0,,,21.7,58.7,0.0,0.0,,,,,9.0,38.0,,314.035043438923,36.4252078141583,1.4318276378133,136.034141808551,14.2026306207364,41.6,39.4,40.5,6.04557,16.68139,11.36348,,0.0,0.0,0.0,0.0,0.0
47,2020-03-09,Albania,0.0,0.0,2020-11,3,0,2872934.0,,,21.7,58.7,0.0,0.0,,,,,9.0,38.0,,314.035043438923,36.4252078141583,1.4318276378133,136.034141808551,14.2026306207364,41.6,39.4,40.5,6.04557,16.68139,11.36348,,0.0,0.0,0.0,0.0,0.0
54,2020-03-16,Albania,0.0,0.0,2020-12,3,0,2872934.0,,,21.7,58.7,0.0,0.0,,,,,9.0,38.0,,314.035043438923,36.4252078141583,1.4318276378133,136.034141808551,14.2026306207364,41.6,39.4,40.5,6.04557,16.68139,11.36348,,0.0,0.0,0.0,0.0,0.0
61,2020-03-23,Albania,102.0,4.0,2020-13,3,0,2872934.0,,,21.7,58.7,0.0,0.0,,,,,9.0,38.0,,314.035043438923,36.4252078141583,1.4318276378133,136.034141808551,14.2026306207364,41.6,39.4,40.5,6.04557,16.68139,11.36348,3.846,0.13923048702128207,3.550377419042693,0.0,0.009945034787234434,0.25359838707447807
68,2020-03-30,Albania,172.0,10.0,2020-14,3,0,2872934.0,,,21.7,58.7,0.0,0.0,,,,,9.0,38.0,,314.035043438923,36.4252078141583,1.4318276378133,136.034141808551,14.2026306207364,41.6,39.4,40.5,6.04557,16.68139,11.36348,4.933,0.34807621755320517,5.986910941915129,0.0,0.024862586968086083,0.42763649585108066
75,2020-04-06,Albania,273.0,17.0,2020-15,4,0,2872934.0,,,21.7,58.7,0.0,0.0,,,,,9.0,38.0,,314.035043438923,36.4252078141583,1.4318276378133,136.034141808551,14.2026306207364,41.6,39.4,40.5,6.04557,16.68139,11.36348,5.57,0.5917295698404488,9.502480739202502,19.101123595505616,0.04226639784574634,0.6787486242287502
82,2020-04-13,Albania,244.0,12.0,2020-16,4,0,2872934.0,,,21.7,58.7,0.0,0.0,,,,,9.0,38.0,,314.035043438923,36.4252078141583,1.4318276378133,136.034141808551,14.2026306207364,41.6,39.4,40.5,6.04557,16.68139,11.36348,4.925,0.4176914610638462,8.493059708298206,7.0588235294117645,0.0298351043617033,0.6066471220213004
89,2020-04-20,Albania,207.0,5.0,2020-17,4,0,2872934.0,,,21.7,58.7,0.0,0.0,,,,,9.0,38.0,,314.035043438923,36.4252078141583,1.4318276378133,136.034141808551,14.2026306207364,41.6,39.4,40.5,6.04557,16.68139,11.36348,4.452,0.17403810877660258,7.205177703351348,1.8382352941176472,0.012431293484043041,0.514655550239382
